Len_A,Len_B,Knuth_ms,NR_ms
1200,10,73.99998838,53.00005199
1200,15,76.00001525,47.00003425
1200,20,76.99999725,46.99997138
1200,25,79.99994326,47.00003425
1200,30,81.99997013,47.00003425
1200,35,81.99997013,46.99997138
1200,40,84.99997901,48.00001625
1200,45,91.99997876,46.99997138
1200,50,92.99996076,47.99995339
1200,55,94.00000563,47.99995339
1200,60,97.0000145,48.00001625
1200,65,100.0000234,48.99999825
1200,70,100.0000234,48.00001625
1200,75,101.0000054,48.00001625
1200,80,115.0000049,48.99999825
1200,85,101.9999874,48.99999825
1200,90,102.9999694,48.99999825
1200,95,104.0000143,48.99999825
1200,100,110.9999511,49.99998026
1250,5,73.99998838,53.99997113
1250,10,77.99997926,55.999998
1250,15,80.00000613,48.99999825
1250,20,80.99998813,49.99998026
1250,25,83.000015,49.99998026
1250,30,85.99996101,50.00004312
1250,35,84.99997901,49.99998026
1250,40,88.00005075,50.00004312
1250,45,94.99998763,49.99998026
1250,50,97.0000145,50.00004312
1250,50,101.0000054,52.00000713
1250,55,97.99999651,49.99998026
1250,60,101.0000054,49.99998026
1250,65,104.0000143,50.99996226
1250,70,104.0000143,50.99996226
1250,75,104.9999963,49.99998026
1250,80,119.9999778,52.00000713
1250,85,106.0000411,50.99996226
1250,90,106.9999603,52.00000713
1250,95,108.9999871,50.99996226
1250,100,115.9999869,52.00000713
1250,100,113.99996,52.00000713
1250,150,134.9999593,53.99997113
1250,200,146.0000128,55.000016
1250,250,167.999994,55.999998
1250,300,180.9999486,55.999998
1250,350,199.9999839,55.999998
1250,400,216.0000103,57.99996201
1250,450,238.0000544,59.00000688
1250,500,249.9999641,59.99998888
1250,550,272.0000083,59.99998888
1250,600,284.9999629,61.00003375
1250,650,300.9999893,61.00003375
1250,700,322.0000514,61.99995289
1250,750,332.9999791,61.99995289
1250,800,346.9999786,62.99999775
1250,850,362.000023,62.99999775
1300,5,76.00001525,57.99996201
1300,10,79.99994326,59.00000688
1300,15,82.99995214,52.99998913
1300,20,85.00004187,53.00005199
1300,25,87.99998788,54.000034
1300,30,89.99995189,53.99997113
1300,35,90.99999676,52.99998913
1300,40,93.00002363,54.000034
1300,45,99.99996051,53.99997113
1300,50,101.9999874,53.99997113
1300,55,103.0000322,54.000034
1300,60,107.0000231,53.99997113
1300,65,109.9999691,55.999998
1300,70,111.999996,55.999998
1300,75,111.999996,54.000034
1300,80,125.9999955,55.999998
1300,85,111.000014,55.999998
1300,90,112.999978,55.999998
1300,95,113.0000409,55.999998
1300,100,129.0000044,55.999998
1350,5,80.00000613,61.00003375
1350,10,84.99997901,62.00001575
1350,15,91.99997876,82.99995214
1350,20,91.99997876,82.000033
1350,25,90.00001475,82.99995214
1350,30,93.00002363,82.000033
1350,35,92.99996076,83.000015
1350,40,95.99996964,80.99998813
1350,45,111.000014,83.999997
1350,50,112.999978,81.99997013
1350,55,114.999942,83.000015
1350,60,104.9999963,83.999997
1350,65,107.0000231,83.999997
1350,70,107.0000231,83.999997
1350,75,114.999942,84.00005987
1350,80,122.0000046,83.999997
1350,85,113.99996,83.999997
1350,90,115.0000049,84.99997901
1350,95,116.9999689,85.00004187
1350,100,132.9999953,85.99996101
1400,5,81.99997013,62.99999775
1400,10,85.99996101,63.99997976
1400,15,94.00000563,84.99997901
1400,20,94.99998763,83.999997
1400,25,92.99996076,86.00002388
1400,30,95.99996964,85.99996101
1400,35,95.0000505,86.00002388
1400,40,99.00004137,85.99996101
1400,45,115.0000049,84.99997901
1400,50,115.9999869,85.00004187
1400,55,119.9999778,85.99996101
1400,60,108.9999871,84.99997901
1400,65,111.999996,86.00002388
1400,70,111.000014,86.00002388
1400,75,116.9999689,86.00002388
1400,80,125.9999955,86.00002388
1400,85,118.0000138,86.00002388
1400,90,120.9999598,87.00000588
1400,95,120.9999598,85.00004187
1400,100,136.9999861,87.99998788
1450,5,85.99996101,66.99998863
1450,10,88.99996988,68.0000335
1450,15,97.99999651,87.99998788
1450,20,97.99999651,87.00000588
1450,25,95.99996964,88.00005075
1450,30,98.99997851,88.00005075
1450,35,98.99997851,87.99998788
1450,40,102.9999694,87.99998788
1450,45,119.9999778,87.99998788
1450,50,122.0000046,88.99996988
1450,55,123.9999686,87.99998788
1450,60,113.99996,89.00003275
1450,65,115.9999869,89.00003275
1450,70,114.999942,88.99996988
1450,75,122.9999866,88.99996988
1450,80,130.9999684,90.00001475
1450,85,122.9999866,90.00001475
1450,90,124.9999506,89.00003275
1450,95,125.9999955,88.99996988
1450,100,141.999959,90.99999676
1500,5,87.99998788,69.9999975
1500,10,92.99996076,70.99997951
1500,15,101.0000054,90.00001475
1500,20,102.9999694,90.99999676
1500,25,100.0000234,89.99995189
1500,30,102.9999694,90.99999676
1500,35,102.9999694,90.99999676
1500,40,107.0000231,90.99999676
1500,45,123.9999686,93.00002363
1500,50,126.9999775,92.00004162
1500,50,112.999978,91.99997876
1500,55,129.0000044,91.99997876
1500,60,119.9999778,93.99994276
1500,65,122.0000046,94.00000563
1500,70,122.0000046,94.00000563
1500,75,129.0000044,93.00002363
1500,80,136.0000041,94.00000563
1500,85,128.0000224,94.00000563
1500,90,129.9999864,94.00000563
1500,95,132.0000133,94.00000563
1500,100,149.0000216,94.99998763
1500,100,139.999995,93.00002363
1500,150,160.0000123,94.99998763
1500,200,176.9999578,95.99996964
1500,250,198.0000199,97.0000145
1500,300,222.000028,98.99997851
1500,350,237.9999915,99.99996051
1500,400,258.9999908,102.9999694
1500,450,282.0000169,101.9999874
1500,500,300.9999893,104.9999963
1500,550,322.9999705,104.9999963
1500,600,341.9999429,105.9999783
1500,650,364.0000499,108.9999871
1500,700,380.9999954,109.9999691
1500,750,400.9999498,108.9999871
1500,800,415.9999941,110.000032
1500,850,435.0000294,111.000014
1550,5,93.00002363,72.00002437
1550,10,96.99995164,73.99998838
1550,15,105.9999783,94.00000563
1550,20,105.9999783,94.00000563
1550,25,104.9999963,94.99998763
1550,30,107.0000231,95.0000505
1550,35,107.0000231,94.99998763
1550,40,111.999996,94.99998763
1550,45,129.9999864,96.0000325
1550,50,132.0000133,95.99996964
1550,55,133.9999773,96.99995164
1550,60,122.0000046,94.99998763
1550,65,125.0000135,95.99996964
1550,70,124.9999506,97.0000145
1550,75,132.9999953,97.99999651
1550,80,141.999959,97.0000145
1550,85,133.9999773,97.99999651
1550,90,135.0000221,97.0000145
1550,95,136.0000041,97.99999651
1550,100,155.0000394,97.99999651
1600,5,97.0000145,76.99999725
1600,10,101.9999874,77.99997926
1600,15,110.9999511,97.99999651
1600,20,111.999996,97.99999651
1600,25,109.9999691,98.99997851
1600,30,112.999978,97.0000145
1600,35,112.999978,98.99997851
1600,40,116.9999689,97.0000145
1600,45,134.9999593,99.00004137
1600,50,137.000049,98.99997851
